id;name;flag
sq;Albanian;🇦🇱
en_US;American English;🇺🇸
egy;Ancient Egyptian;🇪🇬
grc;Ancient Greek;🇬🇷
ar;Arabic;🇦🇷
hy;Armenian;🇦🇲
rup;Aromanian;🇷🇺
en_AU;Australian English;🇦🇺
de_AT;Austrian German;🇩🇪
be;Belarusian;🇧🇪
bs;Bosnian;🇧🇸
en_GB;British English;🇬🇧
bg;Bulgarian;🇧🇬
ca;Catalan;🇪🇸
hr;Croatian;🇭🇷
cs;Czech;🇨🇿
da;Danish;🇩🇰
en;English;🇬🇧
et;Estonian;🇪🇹
fr;French;🇫🇷
ka;Georgian;🇬🇪
el;Greek;🇬🇷
hu;Hungarian;🇭🇺
is;Icelandic;🇮🇸
it;Italian;🇮🇹
la;Latin;🏺
lb;Luxembourgish;🇱🇧
dum;Middle Dutch;🇳🇱
enm;Middle English;🇬🇧
frm;Middle French;🇫🇷
gmh;Middle High German;🇩🇪
mga;Middle Irish;🇲🇬
ro_MD;Moldavian;🇷🇴
zxx;No linguistic content;🌐
no;Norwegian;🇳🇴
nb;Norwegian Bokmål;🇳🇴
nn;Norwegian Nynorsk;🇳🇴
ang;Old English;🏴󠁧󠁢󠁥󠁮󠁧󠁿
fro;Old French;🇫🇷
goh;Old High German;🇩🇪
sga;Old Irish;🇸🇬
non;Old Norse;🇳🇴
peo;Old Persian;🇵🇪
pro;Old Provençal;🇵🇷
pl;Polish;🇵🇱
pt;Portuguese;🇵🇹
ro;Romanian;🇷🇴
ru;Russian;🇷🇺
den;Slave;🇩🇪
sk;Slovak;🇸🇰
sl;Slovenian;🇸🇮
ss;Swati;🇸🇸
sv;Swedish;🇸🇪
fr_CH;Swiss French;🇫🇷
gsw;Swiss German;🇬🇸
de_CH;Swiss High German;🇩🇪
uk;Ukrainian;🇺🇦
es;Spanish;🇪🇸
de;German;🇩🇪
tr;Turkish;🇹🇷
