id,code,name,flag
1,aar,Afar,🇩🇯
2,abk,Abkhazian,🇬🇪
3,ace,Achinese,🇮🇩
4,ach,Acoli,🇺🇬
5,ada,Adangme,🇬🇭
6,ady,Adyghe; Adygei,🇷🇺
7,afa,Afro-Asiatic languages,🌍
8,afh,Afrihili,🌍
9,afr,Afrikaans,🇿🇦
10,ain,Ainu,🇯🇵
11,aka,Akan,🇬🇭
12,akk,Akkadian,🌍
13,alb,Albanian,🇦🇱
14,ale,Aleut,🇺🇸
15,alg,Algonquian languages,🌍
16,alt,Southern Altai,🇷🇺
17,amh,Amharic,🇪🇹
18,ang,"English, Old (ca.450-1100)",🇬🇧
19,anp,Angika,🇮🇳
20,apa,Apache languages,🇺🇸
21,ara,Arabic,🇸🇦
22,arc,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),🌍
23,arg,Aragonese,🇪🇸
24,arm,Armenian,🇦🇲
25,arn,Mapudungun; Mapuche,🇨🇱
26,arp,Arapaho,🇺🇸
27,art,Artificial languages,💻
28,arw,Arawak,🇬🇾
29,asm,Assamese,🇮🇳
30,ast,Asturian; Bable; Leonese; Asturleonese,🇪🇸
31,ath,Athapascan languages,🌍
32,aus,Australian languages,🇦🇺
33,ava,Avaric,🇷🇺
34,ave,Avestan,🌍
35,awa,Awadhi,🇮🇳
36,aym,Aymara,🇧🇴
37,aze,Azerbaijani,🇦🇿
38,bad,Banda languages,🌍
39,bai,Bamileke languages,🇨🇲
40,bak,Bashkir,🇷🇺
41,bal,Baluchi,🇵🇰
42,bam,Bambara,🇲🇱
43,ban,Balinese,🇮🇩
44,baq,Basque,🇪🇸
45,bas,Basa,🇨🇲
46,bat,Baltic languages,🌍
47,bej,Beja; Bedawiyet,🇪🇹
48,bel,Belarusian,🇧🇾
49,bem,Bemba,🇿🇲
50,ben,Bengali,🇧🇩
51,ber,Berber languages,🇩🇿
52,bho,Bhojpuri,🇮🇳
53,bih,Bihari languages,🇮🇳
54,bik,Bikol,🇵🇭
55,bin,Bini; Edo,🇳🇬
56,bis,Bislama,🇻🇺
57,bla,Siksika,🇨🇦
58,bnt,Bantu languages,🌍
59,bos,Bosnian,🇧🇦
60,bra,Braj,🇮🇳
61,bre,Breton,🇫🇷
62,btk,Batak languages,🇮🇩
63,bua,Buriat,🇷🇺
64,bug,Buginese,🇮🇩
65,bul,Bulgarian,🇧🇬
66,bur,Burmese,🇲🇲
67,byn,Blin; Bilin,🇪🇷
68,cad,Caddo,🇺🇸
69,cai,Central American Indian languages,🌎
70,car,Galibi Carib,🇫🇷
71,cat,Catalan; Valencian,🇪🇸
72,cau,Caucasian languages,🌍
73,ceb,Cebuano,🇵🇭
74,cel,Celtic languages,🌍
75,cha,Chamorro,🇬🇺
76,chb,Chibcha,🇨🇴
77,che,Chechen,🇷🇺
78,chg,Chagatai,🇺🇿
79,chi,Chinese,🇨🇳
80,chk,Chuukese,🇫🇲
81,chm,Mari,🇷🇺
82,chn,Chinook jargon,🇺🇸
83,cho,Choctaw,🇺🇸
84,chp,Chipewyan; Dene Suline,🇨🇦
85,chr,Cherokee,🇺🇸
86,chu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,🇷🇸
87,chv,Chuvash,🇷🇺
88,chy,Cheyenne,🇺🇸
89,cmc,Chamic languages,🌍
90,cnr,Montenegrin,🇲🇪
91,cop,Coptic,🇪🇬
92,cor,Cornish,🇬🇧
93,cos,Corsican,🇫🇷
94,cpe,"Creoles and pidgins, English based",🌍
95,cpf,"Creoles and pidgins, French-based",🌍
96,cpp,"Creoles and pidgins, Portuguese-based",🌍
97,cre,Cree,🇨🇦
98,crh,Crimean Tatar; Crimean Turkish,🇺🇦
99,crp,Creoles and pidgins,🌍
100,csb,Kashubian,🇵🇱
101,cus,Cushitic languages,🌍
102,cze,Czech,🇨🇿
103,dak,Dakota,🇺🇸
104,dan,Danish,🇩🇰
105,dar,Dargwa,🇷🇺
106,day,Land Dayak languages,🇲🇾
107,del,Delaware,🇺🇸
108,den,Slave (Athapascan),🇨🇦
109,dgr,Dogrib,🇨🇦
110,din,Dinka,🇸🇸
111,div,Divehi; Dhivehi; Maldivian,🇲🇻
112,doi,Dogri,🇮🇳
113,dra,Dravidian languages,🇮🇳
114,dsb,Lower Sorbian,🇩🇪
115,dua,Duala,🇨🇲
116,dum,"Dutch, Middle (ca.1050-1350)",🇳🇱
117,dut,Dutch; Flemish,🇳🇱
118,dyu,Dyula,🇨🇮
119,dzo,Dzongkha,🇧🇹
120,efi,Efik,🇳🇬
121,egy,Egyptian (Ancient),🇪🇬
122,eka,Ekajuk,🇳🇬
123,elx,Elamite,🌍
124,eng,English,🇬🇧
125,enm,"English, Middle (1100-1500)",🇬🇧
126,epo,Esperanto,🌍
127,est,Estonian,🇪🇪
128,ewe,Ewe,🇬🇭
129,ewo,Ewondo,🇨🇲
130,fan,Fang,🇬🇦
131,fao,Faroese,🇫🇴
132,fat,Fanti,🇬🇭
133,fij,Fijian,🇫🇯
134,fil,Filipino; Pilipino,🇵🇭
135,fin,Finnish,🇫🇮
136,fiu,Finno-Ugrian languages,🌍
137,fon,Fon,🇹🇬
138,fre,French,🇫🇷
139,frm,"French, Middle (ca.1400-1600)",🇫🇷
140,fro,"French, Old (842-ca.1400)",🇫🇷
141,frr,Northern Frisian,🇩🇪
142,frs,Eastern Frisian,🇩🇪
143,fry,Western Frisian,🇳🇱
144,ful,Fulah,🇸🇳
145,fur,Friulian,🇮🇹
146,gaa,Ga,🇬🇭
147,gay,Gayo,🇮🇩
148,gba,Gbaya,🇨🇫
149,gem,Germanic languages,🇩🇪
150,geo,Georgian,🇬🇪
151,ger,German,🇩🇪
152,gez,Geez,🇪🇹
153,gil,Gilbertese,🇰🇮
154,gla,Gaelic; Scottish Gaelic,🏴󠁧󠁢󠁳󠁣󠁴󠁿
155,gle,Irish,🇮🇪
156,glg,Galician,🇪🇸
157,glv,Manx,🇮🇲
158,gmh,"German, Middle High (ca.1050-1500)",🇩🇪
